"hat","true"
"coh1815",84.395,74
"coh1816",83.586,76
"coh1817",83.496,78
"coh1818",82.742,80
"coh1819",81.859,82
"beta",0.129,0.1
"coh1815",84.232,74
"coh1816",83.841,76
"coh1817",83.267,78
"coh1818",82.73,80
"coh1819",82.279,82
"beta",0.132,0.1
"coh1815",84.154,74
"coh1816",83.891,76
"coh1817",83.221,78
"coh1818",82.713,80
"coh1819",82.383,82
"beta",0.133,0.1
"coh1815",84.675,74
"coh1816",83.698,76
"coh1817",83.281,78
"coh1818",82.738,80
"coh1819",82.618,82
"beta",0.131,0.1
"coh1915",84.302,86
"coh1916",83.7,85
"coh1917",83.245,84
"coh1918",83.195,83
"coh1919",82.171,82
"beta",0.131,0.1
"coh1915",84.267,86
"coh1916",84.047,85
"coh1917",83.311,84
"coh1918",82.73,83
"coh1919",82.576,82
"beta",0.128,0.1
"coh1915",84.456,86
"coh1916",83.796,85
"coh1917",83.34,84
"coh1918",82.936,83
"coh1919",82.048,82
"beta",0.132,0.1
"coh1915",84.292,86
"coh1916",83.675,85
"coh1917",83.106,84
"coh1918",82.698,83
"coh1919",82.468,82
"beta",0.129,0.1
"coh1910",90.628,86
"coh1911",86.861,83
"coh1912",89.073,89
"coh1913",85.329,85
"coh1914",88.465,85
"coh1915",85.355,88
"coh1916",83.431,83
"coh1917",84.747,84
"coh1918",85.354,83
"coh1919",81.834,82
"beta",0.123,0.1
"coh1910",88.593,86
"coh1911",86.995,83
"coh1912",87.963,89
"coh1913",86.907,85
"coh1914",86.536,85
"coh1915",85.229,88
"coh1916",85.959,83
"coh1917",83.851,84
"coh1918",82.317,83
"coh1919",82.111,82
"beta",0.129,0.1
"coh1910",87.418,86
"coh1911",86.862,83
"coh1912",88.809,89
"coh1913",86.697,85
"coh1914",86.11,85
"coh1915",86.133,88
"coh1916",84.116,83
"coh1917",85.246,84
"coh1918",83.647,83
"coh1919",81.796,82
"beta",0.129,0.1
"coh1910",89.703,86
"coh1911",89.278,83
"coh1912",88.859,89
"coh1913",86.524,85
"coh1914",86.307,85
"coh1915",87.899,88
"coh1916",82.973,83
"coh1917",83.264,84
"coh1918",82.665,83
"coh1919",81.611,82
"beta",0.132,0.1
"coh1910",88.466,86
"coh1911",87.385,83
"coh1912",88.599,89
"coh1913",86.785,85
"coh1914",85.239,85
"coh1915",84.551,88
"coh1916",84.293,83
"coh1917",83.224,84
"coh1918",84.676,83
"coh1919",82.113,82
"beta",0.129,0.1
"coh1910",87.592,86
"coh1911",87.526,83
"coh1912",88.114,89
"coh1913",88.304,85
"coh1914",86.494,85
"coh1915",83.103,88
"coh1916",85.919,83
"coh1917",84.446,84
"coh1918",81.934,83
"coh1919",82.207,82
"beta",0.125,0.1
"coh1910",89.402,86
"coh1911",86.573,83
"coh1912",86.94,89
"coh1913",87.65,85
"coh1914",87.066,85
"coh1915",85.004,88
"coh1916",85.523,83
"coh1917",83.354,84
"coh1918",81.627,83
"coh1919",85.589,82
"beta",0.115,0.1
"coh1910",88.213,86
"coh1911",85.685,83
"coh1912",88.91,89
"coh1913",87.118,85
"coh1914",86.811,85
"coh1915",88.264,88
"coh1916",85.461,83
"coh1917",85.511,84
"coh1918",84.699,83
"coh1919",83.329,82
"beta",0.103,0.1
"coh1910",92.219,86
"coh1911",86.7,83
"coh1912",92.191,89
"coh1913",92.666,85
"coh1914",94.096,85
"coh1915",89.617,88
"coh1916",91.651,83
"coh1917",87.327,84
"coh1918",92.322,83
"coh1919",85.578,82
"beta",0.079,0.1
"coh1910",92.219,86
"coh1911",86.7,83
"coh1912",92.191,89
"coh1913",92.666,85
"coh1914",94.096,85
"coh1915",89.617,88
"coh1916",91.651,83
"coh1917",87.327,84
"coh1918",92.322,83
"coh1919",85.578,82
"beta",0.079,0.1
"coh1910",92.219,86
"coh1911",86.7,83
"coh1912",92.191,89
"coh1913",92.666,85
"coh1914",94.096,85
"coh1915",89.617,88
"coh1916",91.651,83
"coh1917",87.327,84
"coh1918",92.322,83
"coh1919",85.578,82
"beta",0.079,0.1
"coh1910",85.738,86
"coh1911",84.898,83
"coh1912",84.663,89
"coh1913",84.096,85
"coh1914",85.178,85
"coh1915",84.3,88
"coh1916",83.614,83
"coh1917",85.017,84
"coh1918",85.182,83
"coh1919",84.867,82
"beta",0.089,0.1
"coh1910",87.018,86
"coh1911",86.786,83
"coh1912",84.954,89
"coh1913",85.021,85
"coh1914",84.46,85
"coh1915",84.384,88
"coh1916",84.1,83
"coh1917",83.675,84
"coh1918",83.512,83
"coh1919",83.192,82
"beta",0.091,0.1
"coh1910",87.018,86
"coh1911",86.786,83
"coh1912",84.954,89
"coh1913",85.021,85
"coh1914",84.46,85
"coh1915",84.384,88
"coh1916",84.1,83
"coh1917",83.675,84
"coh1918",83.512,83
"coh1919",83.192,82
"beta",0.091,0.1
"coh1910",87.018,86
"coh1911",86.786,83
"coh1912",84.954,89
"coh1913",85.021,85
"coh1914",84.46,85
"coh1915",84.384,88
"coh1916",84.1,83
"coh1917",83.675,84
"coh1918",83.512,83
"coh1919",83.192,82
"beta",0.091,0.1
"coh1910",85.769,86
"coh1911",85.246,83
"coh1912",84.41,89
"coh1913",84.363,85
"coh1914",84.779,85
"coh1915",83.711,88
"coh1916",83.303,83
"coh1917",83.327,84
"coh1918",83.896,83
"coh1919",83.533,82
"beta",0.09,0.1
"coh1910",87.28,86
"coh1911",86.406,83
"coh1912",85.327,89
"coh1913",84.895,85
"coh1914",84.842,85
"coh1915",84.107,88
"coh1916",83.574,83
"coh1917",84.143,84
"coh1918",83.772,83
"coh1919",83.713,82
"beta",0.089,0.1
"coh1910",87.28,86
"coh1911",86.406,83
"coh1912",85.327,89
"coh1913",84.895,85
"coh1914",84.842,85
"coh1915",84.107,88
"coh1916",83.574,83
"coh1917",84.143,84
"coh1918",83.772,83
"coh1919",83.713,82
"beta",0.089,0.1
"coh1910",87.28,86
"coh1911",86.406,83
"coh1912",85.327,89
"coh1913",84.895,85
"coh1914",84.842,85
"coh1915",84.107,88
"coh1916",83.574,83
"coh1917",84.143,84
"coh1918",83.772,83
"coh1919",83.713,82
"beta",0.089,0.1
"coh1910",129.229,86
"coh1911",6275.8,83
"coh1912",92.021,89
"coh1913",94.627,85
"coh1914",136.877,85
"coh1915",250.603,88
"coh1916",145.773,83
"coh1917",394.799,84
"coh1918",1162.103,83
"coh1919",431.672,82
"beta",0.076,0.1
"coh1910",87.743,86
"coh1911",85.364,83
"coh1912",83.39,89
"coh1913",83.015,85
"coh1914",85.734,85
"coh1915",83.104,88
"coh1916",84.27,83
"coh1917",86.889,84
"coh1918",84.88,83
"coh1919",84.913,82
"beta",0.088,0.1
